candidate_id,family,chemistry_class,source,closed_graph_delta_g_kcal_per_mol,panel_relative_ddg_kcal_per_mol,pbcnet_relative_ddg_kcal_per_mol,panel_id,pbcnet_rank,panel_local_score_rank,rbfe_edge_present,rbfe_edge_count,solvent_or_water_probe,closed_graph_loop_ids,runtime_ligand_path,ligand_path,admet_gate_state,admet_property_role,admet_risk_norm,solubility_status,permeability_status,toxicity_status,admet_property_packet_schema,admet_property_packet_proof_path
JTY026_oxazole_tail,JTY026,tail,pbcnet_runtime_ligand_scan,,,,,,,,,,,/usr/local/jldos/evidence/pbcnet/jty_next_chemistry_20260420T193745Z/runtime/ligands/JTY026_oxazole_tail.sdf,,,,,,,,,
JTY026_pyridyl_tail,JTY026,tail,pbcnet_runtime_ligand_scan,0.7453976279178202,-0.045218,,jty_pbcnet_tail_cleanup_r1,,5,,,,"['jty_4cl_pyridyl_cycle1_closed_graph_cpu_from_gpu_dock_20260421T221258Z', 'jty_top10_posebacked_closed_graph_20260421T204322Z', 'jty_top10_posebacked_closed_graph_full_20260421T212119Z']",/usr/local/jldos/evidence/pbcnet/jty_4cl_pyridyl_cycle1_closed_graph_cpu_from_gpu_dock_20260421T221258Z/runtime/ligands/JTY026_pyridyl_tail.sdf,,,,,,,,,
JTY026_triazine_tail,JTY026,tail,pbcnet_runtime_ligand_scan,1.1764787719796272,-0.308466,,jty_pbcnet_tail_cleanup_r1,,2,,,,"['jty_4br_pyridyl_cycle2_closed_graph_20260421T221809Z', 'jty_4cl_pyridyl_cycle1_closed_graph_cpu_from_gpu_dock_20260421T221258Z', 'jty_top10_posebacked_closed_graph_20260421T204322Z', 'jty_top10_posebacked_closed_graph_full_20260421T212119Z']",/usr/local/jldos/evidence/pbcnet/jty_4br_pyridyl_cycle2_closed_graph_20260421T221809Z/runtime/ligands/JTY026_triazine_tail.sdf,,,,,,,,,
JTY027_26diF_benzamide,JTY027,benzamide,pbcnet_runtime_ligand_scan,,,,,,,,,,,/usr/local/jldos/evidence/pbcnet/jty_next_chemistry_20260420T193745Z/runtime/ligands/JTY027_26diF_benzamide.sdf,,,,,,,,,
JTY027_2F6Me_benzamide,JTY027,benzamide,pbcnet_runtime_ligand_scan,,,,,,,,,,,/usr/local/jldos/evidence/pbcnet/jty_next_chemistry_20260420T193745Z/runtime/ligands/JTY027_2F6Me_benzamide.sdf,,,,,,,,,
JTY027_2F_benzamide,JTY027,benzamide,pbcnet_runtime_ligand_scan,,,,,,,,,,,/usr/local/jldos/evidence/pbcnet/jty_next_chemistry_20260420T193745Z/runtime/ligands/JTY027_2F_benzamide.sdf,,,,,,,,,
JTY027_2Me_benzamide,JTY027,benzamide,pbcnet_runtime_ligand_scan,,,,,,,,,,,/usr/local/jldos/evidence/pbcnet/jty_next_chemistry_20260420T193745Z/runtime/ligands/JTY027_2Me_benzamide.sdf,,,,,,,,,
JTY027_2OMe_benzamide,JTY027,benzamide,pbcnet_runtime_ligand_scan,,,,,,,,,,,/usr/local/jldos/evidence/pbcnet/jty_next_chemistry_20260420T193745Z/runtime/ligands/JTY027_2OMe_benzamide.sdf,,,,,,,,,
JTY027_aniline_diF,JTY027,aniline,pbcnet_runtime_ligand_scan,,-0.13202026233276618,,jty_pbcnet_winner_family_exploitation_r1,3,3,,,,,/usr/local/jldos/evidence/pbcnet/jty_next_chemistry_20260420T193745Z/runtime/ligands/JTY027_aniline_diF.sdf,,review,jty027_property_followup,0.3655,review,admit,review,sdf.jty027_sar_admet_property_packet.v1,/workspace/jldos_outputs/shared_runs/jty027_sar_autonomy/current_control_decision.json
JTY027_aniline_diF_26diMe_benzamide,JTY027,benzamide,panel_queue_only,,-0.22500532731044387,,jty_pbcnet_winner_family_exploitation_r1,1,1,,,,,,,hold,binding_challenger_liability_debt,0.5505,hold,review,review,sdf.jty027_sar_admet_property_packet.v1,/workspace/jldos_outputs/shared_runs/jty027_sar_autonomy/current_control_decision.json
JTY027_aniline_diF_2CF3_benzamide,JTY027,benzamide,panel_queue_only,,0.22226427225897374,,jty_pbcnet_winner_family_exploitation_r1,7,7,,,,,,,hold,tox_lipophilicity_contrast,0.5505,hold,review,review,sdf.jty027_sar_admet_property_packet.v1,/workspace/jldos_outputs/shared_runs/jty027_sar_autonomy/current_control_decision.json
JTY027_aniline_diF_2Cl_benzamide,JTY027,benzamide,panel_queue_only,,0.5281226031732139,,jty_pbcnet_winner_family_exploitation_r1,9,9,,,,,,,hold,tox_lipophilicity_contrast,0.5505,hold,review,review,sdf.jty027_sar_admet_property_packet.v1,/workspace/jldos_outputs/shared_runs/jty027_sar_autonomy/current_control_decision.json
JTY027_aniline_diF_2Cyano_benzamide,JTY027,benzamide,pbcnet_runtime_ligand_scan,,,,jty_pbcnet_winner_family_exploitation_r1,,,,,,,/usr/local/jldos/evidence/pbcnet/jty027_winner_family_gapfill_20260421T0400Z/runtime/ligands/JTY027_aniline_diF_2Cyano_benzamide.sdf,,review,polarity_permeability_sentinel,0.3655,review,admit,review,sdf.jty027_sar_admet_property_packet.v1,/workspace/jldos_outputs/shared_runs/jty027_sar_autonomy/current_control_decision.json
JTY027_aniline_diF_2Et_benzamide,JTY027,benzamide,panel_queue_only,,-0.1844451930502895,,jty_pbcnet_winner_family_exploitation_r1,2,2,,,,,,,hold,tox_lipophilicity_contrast,0.5505,hold,review,review,sdf.jty027_sar_admet_property_packet.v1,/workspace/jldos_outputs/shared_runs/jty027_sar_autonomy/current_control_decision.json
